,Name,Identity,Alignment,Gender,Status,Year
0,'Spinner (Earth-616),Secret,Good,Male,Living,2007.0
1,107 (Earth-616),Secret,Neutral,Male,Living,1994.0
2,11-Ball (Earth-616),Secret,Bad,Male,Living,1991.0
3,115 (Legion Personality) (Earth-616),Secret,Neutral,Female,Living,2010.0
4,14 (Earth-616),Secret,Bad,Female,Living,1994.0
5,181 (Legion Personality) (Earth-616),Secret,Neutral,,Living,2011.0
6,1X (Earth-616),Public,Good,Male,Living,1940.0
7,2-D (Earth-616),Secret,Good,Male,Living,2008.0
8,2X (Earth-616),Public,Good,Male,Living,1940.0
9,302 (Legion Personality) (Earth-616),Secret,Neutral,,Living,2011.0
10,3X (Earth-616),Public,Good,Male,Living,1940.0
11,6-Ball (Earth-616),Secret,Bad,Male,Living,1991.0
12,6R (Earth-616),,Bad,,Deceased,1969.0
13,762 (Legion Personality) (Earth-616),Secret,Neutral,Male,Living,2010.0
14,8-Ball (Hobgoblin) (Earth-616),Secret,Bad,Male,Living,
15,8-Ball II (Earth-616),Secret,Bad,Male,Living,2009.0
16,88 (Earth-616),Public,Bad,Male,Living,1994.0
17,9-Ball (Earth-616),Secret,Bad,Male,Living,1991.0
18,933 (Legion Personality) (Earth-616),Secret,Neutral,,Living,2011.0
19,99 (Earth-616),Secret,Neutral,Male,Living,1994.0
20,A (Earth-616),Secret,Bad,Female,Living,2001.0
21,A Friend (Earth-616),,,Male,Living,1974.0
22,A'Kurru U'mbaya (Earth-616),Secret,,Male,Living,1992.0
23,A'Lars (Earth-616),Secret,Good,Male,Living,1973.0
24,A'Sai (Earth-616),Secret,,Male,Living,1988.0
25,A'kane (Earth-616),No Dual,,Female,Deceased,1995.0
26,A'yin (Earth-616),Secret,Bad,Male,Living,1997.0
27,A. G. Bell (Earth-616),Secret,Good,Male,Living,
28,A. Summers (Earth-616),No Dual,Neutral,Female,Deceased,1987.0
29,A.C. O'Connor (Earth-616),No Dual,Neutral,Female,Deceased,1980.0
30,A.J. Raffles (Earth-616),,Good,Male,Living,1943.0
31,A3 (Earth-616),,Bad,,Deceased,1969.0
32,AC-DC (Earth-616),Secret,Neutral,Male,Living,1985.0
33,Aa-Gorn (Earth-616),No Dual,Neutral,Male,Deceased,1991.0
34,Aa-Thak (Earth-616),,Bad,Male,Living,1980.0
35,Aaidan Blomfield (Earth-616),Secret,Bad,Male,Living,1996.0
36,Aalbort (Earth-616),No Dual,,Male,Living,1989.0
37,Aaliyah Hardin (Earth-616),No Dual,Good,Female,Living,2002.0
38,Aamir (Earth-616),Secret,,Male,Living,2003.0
39,Aamshed (Earth-616),Secret,,Female,Living,2004.0
40,Aan Taanu (Earth-616),Secret,,Male,Living,1991.0
41,Aardvark (Earth-616),Secret,,Male,Living,
42,Aarkus (Earth-616),Secret,Good,Male,Living,1940.0
43,Aaron Amberson (Earth-616),No Dual,,Male,Living,1999.0
44,Aaron Carpenter (Earth-616),No Dual,Good,Male,Living,
45,Aaron Cashin (Earth-616),Secret,Bad,Male,Living,1992.0
46,Aaron Chord (Earth-616),Secret,Bad,Male,Living,1990.0
47,Aaron Downing (Earth-616),No Dual,Good,Male,Living,2010.0
48,Aaron English (Earth-616),Public,Good,Male,Living,1977.0
49,Aaron MacKenzie (Earth-616),No Dual,Good,Male,Living,2011.0
50,Aaron Nicholson (Earth-616),Secret,Bad,Male,Living,1984.0
