Name,Connections
CAPTAIN AMERICA,1426
SPIDER-MAN/PETER PAR,1286
IRON MAN/TONY STARK ,1132
WOLVERINE/LOGAN ,1036
SCARLET WITCH/WANDA ,1004
THING/BENJAMIN J. GR,1003
HUMAN TORCH/JOHNNY S,962
MR. FANTASTIC/REED R,957
THOR/DR. DONALD BLAK,947
VISION ,919
INVISIBLE WOMAN/SUE ,919
BEAST/HENRY &HANK& P,918
HAWK,880
CYCLOPS/SCOTT SUMMER,812
HULK/DR. ROBERT BRUC,802
WASP/JANET VAN DYNE ,778
DR. STRANGE/STEPHEN ,777
ANT-MAN/DR. HENRY J.,775
STORM/ORORO MUNROE S,771
COLOSSUS II/PETER RA,760
PROFESSOR X/CHARLES ,756
SHE-HULK/JENNIFER WA,753
MARVEL GIRL/JEAN GRE,749
ANGEL/WARREN KENNETH,748
WONDER MAN/SIMON WIL,729
SUB-MARINER/NAMOR MA,729
"JARVIS, EDWIN ",707
ICEMAN/ROBERT BOBBY ,690
HERCULES [GREEK GOD],688
DAREDEVIL/MATT MURDO,681
"FURY, COL. NICHOLAS ",646
"JAMESON, J. JONAH",637
BLACK WIDOW/NATASHA ,636
NIGHTCRAWLER/KURT WA,616
QUICKSILVER/PIETRO M,615
ROGUE /,601
BLACK KNIGHT V/DANE ,558
"WATSON-PARKER, MARY ",553
QUASAR III/WENDELL V,534
HAVOK/ALEX SUMMERS ,532
PSYLOCKE/ELISABETH B,512
CRYSTAL [INHUMAN],509
BLACK PANTHER/T'CHAL,499
SHADOWCAT/KATHERINE ,490
NOVA/RICHARD RIDER,483
"RICHARDS, FRANKLIN B",472
SILVER SURFER/NORRIN,466
NAMORITA/NITA PRENTI,461
CANNONBALL II/SAM GU,458
GAMBIT/REMY LEBEAU ,450
POLARIS/LORNA DANE,447
"ROBERTSON, JOE",444
DR. DOOM/VICTOR VON ,441
USAGENT/CAPTAIN JOHN,439
MOONDRAGON/HEATHER D,434
FIRESTAR/ANGELICA JO,433
"SUMMERS, NATHAN CHRI",422
WOLFSBANE/RAHNE SINC,418
THUNDERSTRIKE/ERIC K,418
SERSI/SYLVIA,408
FALCON/SAM WILSON,403
"CAGE, LUKE/CARL LUCA",401
BINARY/CAROL DANVERS,398
MAGNETO/MAGNUS/ERIC ,393
"JONES, RICHARD MILHO",392
IRON FIST/DANIEL RAN,383
CAPTAIN MARVEL II/MO,382
SPEEDBALL/ROBBIE BAL,374
"COOPER, DR. VALERIE",372
TIGRA/GREER NELSON,371
BANSHEE/SEAN CASSIDY,366
"NELSON, FRANKLIN FOG",355
GORGON [INHUMAN],350
SUNSPOT/ROBERTO DACO,349
FORGE,348
SHAMAN/MICHAEL TWOYO,347
PUNISHER II/FRANK CA,345
SASQUATCH/WALTER LAN,340
JUSTICE II/VANCE AST,339
IRON MAN IV/JAMES R.,338
BLACK BOLT/BLACKANTO,338
ODIN [ASGARDIAN],335
MEDUSA/MEDUSALITH AM,335
TRITON,334
JUBILEE/JUBILATION L,333
"MACTAGGERT, MOIRA KI",330
"PARKER, MAY",328
"DUGAN, TIMOTHY ALOYI",328
CAPTAIN BRITAIN/BRIA,327
STARFOX/EROS,324
DR. DRUID/ANTHONY LU,321
SPIDER-WOMAN II/JULI,320
DAZZLER II/ALLISON B,317
GALACTUS/GALAN,317
UATU,316
BLOB/FRED J. DUKES,316
MOON KNIGHT/MARC SPE,315
KINGPIN/WILSON FISK,312
BOOMER/TABITHA SMITH,311
SCREAMING MIMI/MELIS,311
THUNDERBIRD II/JAMES,311
BEETLE/ABNER RONALD ,309
HOGUN [ASGARDIAN],308
MOCKINGBIRD/DR. BARB,304
SUNFIRE/SHIRO YOSHID,303
AURORA/JEANNE-MARIE ,301
ANT-MAN II/SCOTT HAR,299
SIF,295
LOKI [ASGARDIAN],294
SANDMAN/WILLIAM BAKE,293
NORTHSTAR/JEAN-PAUL ,290
FANDRAL [ASGARDIAN],287
"MASTERS, ALICIA REIS",286
WONG,285
LIVING LIGHTNING/MIG,285
PHOENIX III/RACHEL S,284
MYSTIQUE/RAVEN DARKH,284
KARNAK [INHUMAN],284
MIRAGE II/DANIELLE M,283
"HUDSON, HEATHER",280
WHITE QUEEN/EMMA FRO,278
POWER MAN/ERIK JOSTE,278
"LEEDS, BETTY BRANT",278
THANOS,274
PUCK/EUGENE MILTON J,273
"NORRISS, SISTER BARB",271
PHARAOH RAMA-TUT,270
HELLCAT/PATSY WALKER,269
MOONSTONE II/KARLA S,268
MEPHISTO,265
LILANDRA NERAMANI [S,264
NIGHT THRASHER/DUANE,264
DARKHAWK/CHRIS POWEL,264
"URICH, BEN",263
SIRYN/THERESA ROURKE,263
"GYRICH, HENRY PETER",261
LOCKJAW [INHUMAN],258
BISHOP /,255
"BANNER, BETTY ROSS T",254
KA-ZAR/KEVIN PLUNDER,253
STRONG GUY/GUIDO CAR,253
"THOMPSON, EUGENE FLA",251
DOMINO III/BEATRICE/,249
LOCKHEED,248
HUMAN TORCH ANDROID/,246
"HARKNESS, AGATHA",242
"ROSS, GEN. THADDEUS ",241
ENCHANTRESS/AMORA/HE,235
SPIDER-MAN CLONE/BEN,234
VOLSTAGG,232
PALADIN/PAUL DENNIS,231
MULTIPLE MAN/JAMES A,231
DOC SAMSON/DR. LEONA,228
WARLOCK III,226
BLACK CAT/FELICIA HA,224
BALDER [ASGARDIAN],224
CITIZEN V II/HELMUT ,222
GHOST RIDER III/DAN ,221
MAKKARI/MIKE KHARY/I,221
GUARDIAN/JAMES MACDO,220
JACK OF HEARTS/JACK ,218
"CARTER, PEGGY",214
HIGH EVOLUTIONARY/HE,212
"JAMESON, COL. JOHN ",212
RHINO,211
WARLOCK II/ADAM WARL,210
MS. MARVEL II/SHARON,210
MACHINE MAN/X-51,210
NOVA II/FRANKIE RAYE,209
SABRETOOTH/VICTOR CR,208
DRAX/ARTHUR DOUGLAS,208
"WATSON, ANNA",207
MAGIK/ILLYANA RASPUT,207
GARGOYLE II/ISAAC CH,207
"OSBORN, LIZ ALLAN",207
MEGGAN,206
"O'BRIEN, MICHAEL",206
SHANNA/SHANNA O'HARA,206
"KINCAID, DR. JANE FO",205
RAGE/ELVIN DARYL HAL,205
CYPHER/DOUG RAMSEY,205
VANGUARD/NICOLAI KRY,205
AVALANCHE/DOMINIC PE,203
"KNIGHT, MISTY",202
STINGRAY/DR. WALTER ,201
ETERNITY/ADAM QADMON,200
X-MAN/NATHAN GREY ,199
GHOST RIDER II/JOHNN,197
LYJA LAZERFIST [SKRU,197
DAGGER/TANDY BOWEN,196
SPIDER-WOMAN/JESSICA,196
FIXER II/PAUL NORBER,195
DEATH,194
PIP/PRINCE GOFERN,192
DIAMONDBACK II/RACHE,192
SNOWBIRD/NARYA/ANNE ,191
JOLT/HALLIE TAKAHAMA,190
CLOAK/TYRONE JOHNSON,190
DR. OCTOPUS/OTTO OCT,190
HEIMDALL [ASGARDIAN],189
GEE/ALEX POWER,189
"TILBY, TRISH/PATRICI",188
DARKSTAR/LAYNIA SERG,188
"PAGE, KAREN",188
KLAW/ULYSSES KLAW,187
TITANIA II/MARY SKEE,186
RED SKULL/JOHANN SCH,186
"CARTER, SHARON",184
NIGHTHAWK II/KYLE RI,184
COBRA/KLAUS VORHEES,184
JUGGERNAUT/CAIN MARK,182
CONSTRICTOR/FRANK PA,181
"OSBORN, HARRY",180
"JAMESON, MARLA MADIS",180
"BRIDGE, GEORGE WASHI",180
SILHOUETTE,179
PYRO/ALLERDYCE JOHNN,178
"ROM, SPACEKNIGHT",177
MOLE MAN/HARVEY RUPE,177
WIZARD/BENTLEY WITTM,177
ABSORBING MAN/CARL C,176
APOCALYPSE/EN SABAH ,176
WILD CHILD/KYLE GIBN,175
REDWING,175
HELLSTORM/DAIMON HEL,173
LONGSHOT,173
ZEUS,172
CHARCOAL/CHARLIE BUR,172
"HOGAN, VIRGINIA PEPP",171
"WING, COLLEEN",169
GREEN GOBLIN/NORMAN ,169
"SUMMERS, MADELYNE MA",169
ELECTRO/MAX DILLON,167
SKIN/ANGELO ESPINOSA,167
GAMORA,166
CLEA,165
RICTOR/JULIO ESTEBAN,165
THENA,165
BEYONDER,164
TURBO II (A)/MICHIKO,163
CALIBAN/,163
VIPER II,163
MARROW/SARAH ,162
PUPPET MASTER/PHILLI,162
BLACK KING/SEBASTIAN,159
"GRANT, GLORIA GLORY",159
CITIZEN V III/DALLAS,159
SHATTERSTAR II/GAVEE,157
GLADIATOR II,157
HUSK/PAIGE GUTHRIE,156
NOMAD III/JACK MONRO,156
ZABU,155
MAGUS,155
"DE LA FONTAINE, CONT",154
SABRA/RUTH BAT-SERAP,154
MAGMA/AMARA AQUILLA/,154
CAPTAIN MARVEL/CAPTA,153
PEATOR,153
VASHTI,152
"MADDICKS, ARTHUR ART",151
ARABIAN KNIGHT/ABDUL,151
BETA RAY BILL,151
SHAMROCK/MOLLY FITZG,150
COUNTERWEIGHT II/KAT,150
BULLDOZER/HENRY CAMP,149
SUPREME INTELLIGENCE,149
SPIRAL,149
VIZIER,148
HELA [ASGARDIAN],148
CARGIL/JOANNA CARGIL,148
WRECKER III/DIRK GAR,147
COUNTERWEIGHT/JACK P,144
"BALLANTINE, KAYLA",144
MAD DOG/COLONEL BUZZ,143
"SITWELL, JASPER",143
HOBGOBLIN V/JASON PH,143
AJAK/TECUMOTZIN [ETE,143
"JONES, GABE",142
MR. SINISTER/NATHAN ,142
CORSAIR,142
DESTINY II/IRENE ADL,142
TOAD/MORTIMER TOYNBE,142
RED GHOST/IVAN KRAGO,141
TRAPSTER/PETER PETRU,141
TIGER SHARK/TODD ARL,141
TORPEDO III/BROCK JO,141
LIGHTSPEED/JULIE POW,140
RONAN THE ACCUSER [K,140
"HOGAN, HAROLD J. HAP",140
DEATHBIRD [SHI'AR],140
FIRELORD/PYREUS KRIL,140
MANDARIN,140
PRINCESS PYTHON/ZELD,139
DAYTRIPPER/AMANDA SE,139
THUNDERBALL/DR. ELIO,138
LEECH,138
DR. SPECTRUM/JOSEPH ,138
ULTRON,138
SILVER SAMURAI/KENYU,137
FERAL/MARIA CALLASAN,137
