,Name,Connections,Identity,Alignment,Gender,Status,Year
0,Captain America,1426,Secret,Bad,Male,Living,1966.0
1,Spider-Man,1286,Secret,Good,Male,Living,1962.0
2,Iron Man,1132,Public,Good,Male,Living,1963.0
3,Wolverine,1036,Secret,Bad,Male,Living,2012.0
4,Scarlet Witch,1004,,,,,
5,Thing,1003,Secret,Neutral,,Living,1956.0
6,Human Torch,962,Public,Good,Male,Living,1939.0
7,Mr. Fantastic,957,,,,,
8,Thor,947,,Bad,Male,Living,1954.0
9,Vision ,919,,,,,
10,Invisible Woman,919,,,,,
11,Beast,918,,Bad,Male,Living,1986.0
12,Hawk,880,Secret,Bad,Male,Deceased,1943.0
13,Cyclops,812,,,,Deceased,1963.0
14,Hulk,802,,Bad,,Living,1979.0
15,Wasp,778,,,,,
16,Dr. Strange,777,,,,,
17,Ant-Man,775,,,,,
18,Storm,771,Secret,Neutral,Female,Living,
19,Colossus Ii,760,,,,,
20,Professor X,756,,,,,
21,She-Hulk,753,,,,,
22,Marvel Girl,749,Secret,Neutral,Female,Living,2011.0
23,Angel,748,No Dual,,Male,Living,2004.0
24,Wonder Man,729,,,,,
25,Sub-Mariner,729,Secret,Bad,Male,Living,1998.0
26,"Jarvis, Edwin ",707,,,,,
27,Iceman,690,Secret,Neutral,Male,Living,2011.0
28,Hercules [Greek God],688,,,,,
29,Daredevil,681,,,,,
30,"Fury, Col. Nicholas ",646,,,,,
31,"Jameson, J. Jonah",637,,,,,
32,Black Widow,636,Secret,Neutral,Female,Deceased,2005.0
33,Nightcrawler,616,,,,,
34,Quicksilver,615,,,,,
35,Rogue ,601,,,,,
36,Black Knight V,558,,,,,
37,"Watson-Parker, Mary ",553,,,,,
38,Quasar Iii,534,,,,,
39,Havok,532,,Bad,Male,Living,1976.0
40,Psylocke,512,,,,,
41,Crystal [Inhuman],509,,,,,
42,Black Panther,499,,,,,
43,Shadowcat,490,,,,,
44,Nova,483,,,,,
45,"Richards, Franklin B",472,,,,,
46,Silver Surfer,466,,,,,
47,Namorita,461,,,,,
48,Cannonball Ii,458,,,,,
49,Gambit,450,,,,,
50,Polaris,447,,Bad,,Living,1976.0
51,"Robertson, Joe",444,,,,,
52,Dr. Doom,441,,,,,
53,Usagent,439,,,,,
54,Moondragon,434,,,,,
55,Firestar,433,,,,,
56,"Summers, Nathan Chri",422,,,,,
57,Wolfsbane,418,,,,,
58,Thunderstrike,418,,,,,
59,Sersi,408,Secret,Good,Female,Living,1976.0
60,Falcon,403,,,,,
61,"Cage, Luke",401,,,,,
62,Binary,398,,,,,
63,Magneto,393,,,,,
64,"Jones, Richard Milho",392,,,,,
65,Iron Fist,383,,,,,
