Name,Identity,Alignment,Gender,Status,Year
'Spinner ,Secret,Good,Male,Living,2007
107,Secret,Neutral,Male,Living,1994
11-Ball ,Secret,Bad,Male,Living,1991
115,Secret,Neutral,Female,Living,2010
14,Secret,Bad,Female,Living,1994
181,Secret,Neutral,,Living,2011
1X ,Public,Good,Male,Living,1940
2-D ,Secret,Good,Male,Living,2008
2X ,Public,Good,Male,Living,1940
302,Secret,Neutral,,Living,2011
3X ,Public,Good,Male,Living,1940
6-Ball ,Secret,Bad,Male,Living,1991
6R ,,Bad,,Deceased,1969
762,Secret,Neutral,Male,Living,2010
8-Ball ,Secret,Bad,Male,Living,
8-Ball II ,Secret,Bad,Male,Living,2009
88,Public,Bad,Male,Living,1994
9-Ball ,Secret,Bad,Male,Living,1991
933,Secret,Neutral,,Living,2011
99,Secret,Neutral,Male,Living,1994
A ,Secret,Bad,Female,Living,2001
A Friend ,,,Male,Living,1974
A'Kurru U'mbaya ,Secret,,Male,Living,1992
A'Lars ,Secret,Good,Male,Living,1973
A'Sai ,Secret,,Male,Living,1988
A'kane ,No Dual,,Female,Deceased,1995
A'yin ,Secret,Bad,Male,Living,1997
A. G. Bell ,Secret,Good,Male,Living,
A. Summers ,No Dual,Neutral,Female,Deceased,1987
A.C. O'Connor ,No Dual,Neutral,Female,Deceased,1980
A.J. Raffles ,,Good,Male,Living,1943
A3 ,,Bad,,Deceased,1969
AC-DC ,Secret,Neutral,Male,Living,1985
Aa-Gorn ,No Dual,Neutral,Male,Deceased,1991
Aa-Thak ,,Bad,Male,Living,1980
Aaidan Blomfield ,Secret,Bad,Male,Living,1996
Aalbort ,No Dual,,Male,Living,1989
Aaliyah Hardin ,No Dual,Good,Female,Living,2002
Aamir ,Secret,,Male,Living,2003
Aamshed ,Secret,,Female,Living,2004
Aan Taanu ,Secret,,Male,Living,1991
Aardvark ,Secret,,Male,Living,
Aarkus ,Secret,Good,Male,Living,1940
Aaron Amberson ,No Dual,,Male,Living,1999
Aaron Carpenter ,No Dual,Good,Male,Living,
Aaron Cashin ,Secret,Bad,Male,Living,1992
Aaron Chord ,Secret,Bad,Male,Living,1990
Aaron Downing ,No Dual,Good,Male,Living,2010
Aaron English ,Public,Good,Male,Living,1977
Aaron MacKenzie ,No Dual,Good,Male,Living,2011
Aaron Nicholson ,Secret,Bad,Male,Living,1984
Aaron Rosenberg ,No Dual,Good,Male,Living,2002
Aaron Salomon ,Secret,Bad,Male,Living,1977
Aaron Soames ,Secret,Bad,Male,Deceased,1980
Aaron Stankey ,No Dual,Neutral,Male,Living,1977
Aaron Thorne ,No Dual,Bad,Male,Living,1994
Aaron Verne ,Public,Bad,Male,Living,1980
Aaron the Aakon ,Secret,Neutral,Male,Living,1989
Aaron the Sorcerer ,Secret,,Male,Living,1962
Abadon ,,Bad,Male,Living,1993
Abahla ,Secret,,Male,Living,1993
Aban ,,Bad,Male,Living,2009
Abara and Cadabra ,Secret,Bad,Male,Living,1947
Abarac ,No Dual,Good,Male,Living,1970
Abbas al-Abbad ,,Bad,Male,Living,2007
Abbess Horror ,Secret,Bad,Female,Deceased,2006
Abbey Sykes ,No Dual,Neutral,Female,Living,2010
Abby Levine ,No Dual,,Female,Living,1996
Abd-el-Hazred ,Secret,Bad,Male,Living,1978
Abdi ,No Dual,Bad,Male,Deceased,
Abdol ,No Dual,,Male,Deceased,1998
Abdul ,Secret,,Male,Living,1982
Abdul Faoul ,Secret,,Male,Deceased,1977
Abdul Qamar ,Secret,Good,Male,Deceased,1980
Abel ,No Dual,,Male,Living,2002
Abel Stack ,No Dual,Good,Male,Living,1977
Aberdeen Angus ,Secret,Neutral,Male,Living,1993
Aberham ,Secret,Good,Male,Living,
Abigail ,,,Female,Living,2006
Abigail Baxter ,,,Female,Living,2000
Abigail Boylen ,Known to Authorities,Good,Female,Living,2007
Abigail Brand ,Secret,Good,Female,Living,2004
Abigail Burns ,No Dual,Neutral,Female,Living,
Abigail Dunton ,Secret,Good,Female,Living,2007
Abigail Harkness ,,Neutral,Female,Living,2000
Abigail Varden ,,,Female,Living,1946
Abigail Wright ,Secret,Neutral,Female,Living,1987
Abira ,Public,Good,Female,Living,2010
Able Doone ,No Dual,Bad,Male,Living,1943
Abner ,,,Male,Living,1989
Abner Abernathy ,No Dual,,Male,Living,1982
Abner Doolittle ,Secret,Neutral,Male,Living,1976
Abner Dunson ,No Dual,,Male,Living,1993
Abner Jenkins ,Public,Good,Male,Living,1964
Abner Jonas ,,Bad,Male,Living,1965
Abner Little ,Public,,Male,Deceased,1977
Abomination ,Secret,Neutral,Male,Living,2011
Abraham Beame ,No Dual,Neutral,Male,Living,1976
Abraham Brown ,Secret,,Male,Living,1974
Abraham Cornelius ,,,Male,Deceased,1991
Abraham Erskine ,Secret,,Male,Deceased,1941
Abraham James ,Secret,Bad,Male,Living,1979
Abraham Kieros ,Secret,Neutral,Male,Living,1986
Abraham Klein ,No Dual,,Male,Deceased,1976
Abraham Lincoln ,Public,Neutral,Male,Deceased,1966
Abraham Lincoln ,Secret,Neutral,Male,Living,1982
Abraham Verne ,Secret,Good,Male,Living,2004
Abraham Wilson ,No Dual,Good,Male,Deceased,1996
Abraham Zimmer ,,Good,Male,Deceased,1987
Abraham van Helsing ,No Dual,Good,Male,Deceased,1972
Abrams ,No Dual,,Male,Living,1988
Absalom ,Secret,,Male,Deceased,1992
Absolon Mercator ,Secret,Good,Male,Deceased,2004
Absynthe ,Secret,Bad,Female,Living,2007
Absynthia van Mort ,,,Female,Living,1997
Abu Ben Hakim ,,Good,Male,Living,1965
Abu Dakir ,No Dual,Bad,Male,Living,1967
Abu Ho Dadi ,Secret,,Male,Living,1977
Abu M\u016bs\u0101 J\u0101bir ibn Hayy\u0101n al-Azdi ,Secret,Good,Male,Living,2010
Abu-Jamal Rodriguez ,No Dual,Bad,Male,Living,2005
Abwama ,No Dual,Bad,Male,Deceased,1940
Abyss ,Secret,Bad,Male,Living,2008
Abysss ,Secret,Bad,Male,Living,1994
Acba ,Secret,Neutral,Male,Living,1991
Accolon ,No Dual,Neutral,,Living,1981
Ace ,Secret,Good,Male,Living,2006
Ace ,,,Male,Living,
Ace ,Secret,Good,Male,Living,1973
Ace Fenton ,Public,Bad,Male,Living,1964
Ace Maxwell ,No Dual,Bad,Male,Living,1946
Ace Spencer ,Public,Bad,Male,Living,1985
Ace Turmbull ,Secret,Bad,Male,Deceased,1948
Aces Wilde ,Secret,,Male,Living,1970
Achak ,No Dual,Good,Male,Living,2010
Achebe ,Secret,,Male,Living,1999
Achelous ,Secret,Bad,Male,Deceased,2005
Achille DiBacco ,Secret,Bad,Male,Deceased,1979
Achilles ,No Dual,,Male,Deceased,1979
Achilles ,Secret,Bad,Male,Deceased,1991
Achmed El Gib\u00e1r ,Secret,Neutral,Male,Deceased,1976
Achmed Korba ,Secret,Bad,Male,Deceased,1977
Acidroid ,Secret,Bad,Male,Deceased,1999
Acrobat ,Secret,Bad,Male,Living,1947
Acrobat ,,,Male,Living,1977
Acroyear ,No Dual,Good,Male,Living,1979
Actor ,Secret,Bad,Male,Deceased,1963
Adahm ,No Dual,Bad,Male,Living,1993
Adai ,No Dual,Neutral,Female,Living,2006
Adam ,Secret,Bad,Male,Living,2011
Adam ,Public,Bad,Male,Living,2006
Adam Able ,Secret,,Male,Living,1962
Adam Austin ,Secret,Good,Male,Living,2006
Adam Berman ,Secret,Good,Male,Living,1997
Adam Brashear ,Secret,Good,Male,Living,2009
Adam Clayton ,Secret,,Male,Living,1959
Adam Crown ,Secret,Good,Male,Deceased,1991
Adam Destine ,Secret,,Male,Living,1994
Adam Essex ,Secret,Neutral,Male,Deceased,2005
Adam Essex ,No Dual,Neutral,Male,Deceased,1996
Adam Fisher ,Secret,Bad,Male,Living,1996
Adam Harkins ,Secret,Bad,Male,Deceased,2006
Adam II ,Secret,Bad,Male,Living,1977
Adam K'ad-Mon ,No Dual,Neutral,Male,Living,1974
Adam Mann ,,Bad,Male,Living,2011
Adam Manna ,,,Male,Living,1978
Adam Neramani ,Secret,Good,Male,Living,1993
